id,created_at,id_OT_bitacora,url
12,2026-02-17 15:53:13.02717+00,82,https://pub-7b4b3d18960a415cbc39df39bd48f3bd.r2.dev/687/foto-1771343590990.jpg
13,2026-02-19 13:38:48.491138+00,124,https://pub-7b4b3d18960a415cbc39df39bd48f3bd.r2.dev/699/foto-1771508326845.jpg
